"PID","CWV","react","impact_rel","impact_comp","impact_quit","own_likeman","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","elg","og_pid","task","age","race","edu","income","gender","employment","feedback","income_num","edu_num","white","man"
276,4.1,"I think that their work relationship deteriorated because of this interaction. It wouldn't surprise me if the employee decided to look for a new job elsewhere.",1,3,7,1,5,3,3,5,4,7,2,4,3,5,1,1,7,"Use hand-made and uploaded images",45,"multiracial","GED","$140,001-$160,000","woman","Full-time",NA,8,2,0,0
278,3.7,"The employee likely lodged a complaint with someone within the library concerning the managers shady behavior.",1,1,7,1,6,3,2,4,3,6,2,1,5,5,1,1,13,"Spearhead a project for a new children's exhibit",34,"white","GED","$40,001-$60,000","man","Full-time",NA,3,2,1,1
279,3.7,"I am definitely going to be pissed but at the end of the day i still need to do my job.",3,5,5,1,6,2,6,6,2,6,2,4,1,2,1,1,22,"File paperwork that the employee thinks is incorrect",27,"black","MA","$140,001-$160,000","man","Full-time",NA,8,5,0,1
280,1.7,"The employee will be sad and may be discorage due to the manager's behavior but may not have much choice than to adjust since he/she was in need of the job.",3,5,6,1,1,1,1,1,1,2,1,6,1,2,1,1,31,"Clean the rooms faster",38,"black","4yearColl","$120,001-$140,000","woman","Full-time",NA,7,4,0,0
281,2,"The manager's behavior likely caused frustration and resentment among the employees, especially the one yelled at. The employee might have felt disrespected and undervalued, leading to decreased morale and motivated. They may have also lost respect for the manager's leadership style and authority. In response, the employee may have become more passive-aggressive or less engaged in their duties, undermining team cohesion and productivity",2,6,4,1,3,2,2,2,2,4,1,2,1,1,1,1,39,"Clean something that the janitor normally cleans",25,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
282,4,"manager behavior is not good. because he knows that if the paper work is submitted the work will get rejection. Even though he knows about it, still he asked his employee to file the paperwork. it is not at all good",5,4,5,3,4,3,5,5,3,5,4,6,2,3,1,1,22,"File paperwork that the employee thinks is incorrect",29,"white","4yearColl","$100,001-$120,000","woman","Full-time","good",6,4,1,0
283,2.2,"Nothing happened since the employee would likely get in trouble reporting the incident. The manager had probable cause to tell the employee a different than assigned task but did not have the right to yell at him. I think the employees reaction was justified ignoring the aggressive behavior but because he should have talked to the manager about the yelling so he'd know that's not an acceptable thing to do in a workplace",2,4,5,1,3,3,2,1,1,5,2,1,2,2,1,1,39,"Clean something that the janitor normally cleans",30,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
284,4.1,"I think that the employees were very upset at the manager for the rest of the day.",2,7,5,2,7,4,1,7,2,6,4,1,5,4,1,1,38,"Work in teams to get a job done according to instructions",27,"white","GED","$20,001-$40,000","man","Full-time",NA,2,2,1,1
285,2.5,"the employee seemed to be scared/upset by the managers behavior so the employee wanted to just get away from the manager and avoid the situation as much as possible",2,7,6,1,1,4,1,1,4,4,3,1,3,3,1,1,12,"Stop taking breaks in tenants' apartments",25,"white","4yearColl","$140,001-$160,000","woman","Full-time",NA,8,4,1,0
286,4,"I think the manager ended up getting fired especially for saying not to mention HR. I bet the employee was happy after it was done because that sounds like a bad manager.",1,1,7,1,4,5,3,5,3,5,4,3,3,5,1,1,9,"While pregnant, fly cross-country to debut a product",37,"white","GED","$20,001-$40,000","man","Part-time",NA,2,2,1,1
287,1.7,"I think that the employee would be very disgruntled and may have quit or started looking for a new job due to the pressure they were under",1,3,7,1,2,2,1,1,1,3,2,1,2,2,1,1,31,"Clean the rooms faster",58,"white","4yearColl","Over $200,000","man","Full-time",NA,11,4,1,1
288,1.4,"I think the employees disagreed with him on his position openly and they exchanged their opinions with each other. I imagine they may have gotten angry in their back-and-forth disagreements. The manager probably didn't budge and insisted on his positions and that the employees agree and change their actions/behavior. In the end, I imagine that the employees capitulated to the manager because he is senior and over them in position. With reluctance, they probably changed their attire and switched rooms at the hotel.",1,7,7,1,2,2,1,1,1,2,1,1,1,2,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",40,"white","GED","$20,001-$40,000","man","Full-time",NA,2,2,1,1
289,2.6,"The employee likely left with a poor perception of their manager. It appeared, at least from the information given, that the manager addressed problems without offering solutions. This is not constructive in a workplace.",1,5,6,1,5,2,2,1,1,7,1,1,3,3,1,1,43,"Be more focused at work",32,"white","4yearColl","$40,001-$60,000","man","Full-time, Student",NA,3,4,1,1
290,2.4,"I think it could be hazardous to the hospital, the patient and the nurse herself as fatigue is no joking matter and can lead to accidents",2,5,6,1,5,1,1,1,5,5,1,1,1,3,1,1,42,"Take up a colleague's duty as the employee was signing out",30,"white","MA","$100,001-$120,000","man","Full-time",NA,6,5,1,1
291,4.3,"I feel that there were no consequences to the managers behavior.  I feel the emplyee's reaction to the manager and to the incident of dealing with an abusive disabled mom has her sad and depressed.",1,1,6,1,6,4,4,6,3,6,3,4,3,4,1,1,10,"Not take time off for a relative's doctor's appointment",43,"multiracial","MA","$0-$20,000","man","Part-time",NA,1,5,0,1
292,2.7,"The employee might have tried to quit and is now looking for another job. They didn't seem very happy.",2,5,6,1,4,2,2,3,2,4,2,2,3,3,1,1,15,"Produce a great deal of documentation and research without additional compensation",60,"white","GED","$60,001-$80,000","woman","Full-time",NA,4,2,1,0
293,2.2,"I believe the employee was scared and felt unsafe around the director after that and during the altercation.  I would think the CFO would have had the director have a chat with HR about leading in a respectful workplace environment.  If that didn't work or another issue arose he/she would be fired.",1,1,7,1,3,3,2,2,2,2,2,2,2,2,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",52,"white","4yearColl","$180,001-$200,000","man","Full-time",NA,10,4,1,1
294,2.8,"I don’t feel like any real consequences happened towards the manager. I think that the manager is way too comfortable and used to berating, yelling, and degrading their employees. I think the employee who was berated may have suffered negative consequences since the vehicle wasn’t cleaned.",1,3,7,1,4,5,1,1,1,5,1,4,2,4,1,1,51,"Wash the vehicle every day, even if late",34,"black","4yearColl","$80,001-$100,000","woman","Full-time",NA,5,4,0,0
295,1.8,"I think the threat had the opposite affect that the manager wanted. The employee will now not take their work as seriously since that are not respected at work.",1,2,7,1,1,1,3,1,1,4,1,4,1,1,1,1,19,"Make more sales",33,"white","GED","$20,001-$40,000","man","Full-time",NA,2,2,1,1
296,3,"I think that the manager was out of line. They could simply ask the employee if they were asking for donations rather than accusing them. Also, it's a donation, it's not a requirement, and should not be a competition. I don't think the employee had any consequences but I'd hope the manager had consequences. Maybe someone hire up came and fired the manager for bad business practice and the employee was happy.",1,6,5,1,3,3,2,2,2,6,2,5,2,3,1,1,30,"Get more customers to donate to charity",31,"white","4yearColl","$140,001-$160,000","woman","Full-time",NA,8,4,1,0
297,2.6,"For her to appear that way employees would not respect her or the changes she made. To get things done correctly she should have appeared open and understanding/",1,2,5,1,2,6,1,1,3,3,3,2,2,3,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",49,"white","4yearColl","Over $200,000","man","Full-time","none",11,4,1,1
298,3.2,"I would expect the manager to be reprimanded.   That's gross.   Not only would I not want a hand massage from a random employee, I would probably turn and immediately leave.",1,1,7,1,6,5,1,2,3,5,2,3,2,3,1,1,21,"Give customers a hand-massage to try out the lotion",59,"white","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,1,1
299,1.3,"Conversation with his manager about how they are dealing with their direct reports. The way they are conveying their message is not great. The employee feels as if they are being undermined.",2,5,5,1,1,1,1,1,1,4,1,1,1,1,1,1,29,"Help in completing the manager's project",33,"white","GED","$80,001-$100,000","man","Full-time",NA,5,2,1,1
300,2.7,"If the employee was desperate or had low self esteem, they probably at least attempted to work faster. If they were desperate they likely will have some contempt for the manager going forward and will hopefully find a job where they can be appreciated and not treated like a dog.",1,3,7,1,5,1,2,2,4,2,2,2,2,5,1,1,31,"Clean the rooms faster",49,"white","2yearColl","$20,001-$40,000",NA,"Full-time","I realize being agreeable does not help you get far in life but who wants to be an asshole? Evidently plenty of people.",2,3,1,NA
